date_article,delai,jours,heures,nbt,nbrt,nbtmedia,nbrtmedia,nbimages,nbvideos,titre,media
11/08/2014 03:26,0,1,17,17,13,0,0,0,0,Teen Choice Awards 2014 : Tyler Posey présente la cérémonie et amuse Twitter,melty.fr
20/08/2014 06:21,1,1,24,52,36,1,1,0,0,Présidentielle 2017 : Alain Juppé annonce sa candidature à la primaire de l'UMP,francetvinfo.fr
05/06/2014 14:51,0,0,0,1,1,1,1,0,0,70e D-Day. Circulation bloquée à Bénouville  ,ouest-france.fr
28/05/2014 09:16,0,0,1,3,2,1,1,0,0,Witches of the East End saison 2 : Les premières images dévoilées !,melty.fr
10/06/2014 15:21,0,0,10,4,3,0,0,0,0,Dominion : Des posters; un trailer et des infos sur la série !,melty.fr
27/06/2014 08:38,0,13,315,19,7,0,0,0,0,Nuit des bacheliers 2014 : La LMDE et La Banque Populaire interviennent auprès des jeunes,melty.fr
12/08/2014 19:43,0,0,0,2,2,0,0,0,0,Kerry Washington de Scandal Saison 4 estivale en robe blanche en Californie,melty.fr
12/09/2014 10:21,2,0,2,18,8,0,0,0,0,Secret Story 8 : Jessica voit Aymeric avec Anaïs Camizuli; Twitter réagit,melty.fr
18/07/2014 10:43,1,0,0,2,2,0,0,0,0,Kylie Jenner adopte les extensions capillaires sur Instagram; on aime ?,melty.fr
26/06/2014 21:07,1,0,3,3,3,1,1,0,0,Chasing Life : Episode 4; 2 sneak peeks inédits !,melty.fr
18/04/2014 13:39,1,3,79,19,8,1,0,0,0,"Jonah : ""Quelle couleur pour mon vernis ?"" (EXCLU)",melty.fr
26/05/2014 09:14,1,14,337,5,5,0,0,0,0,Un homme abandonne sa carrière juridique pour devenir homme-canon dans un cirque,melty.fr
24/07/2014 08:34,1,1,12,12,10,1,1,0,0,Piégé sur Twitter. J. Renaud peut-il porter plainte pour diffamation?  ,ouest-france.fr
16/04/2014 15:35,1,1,28,2,2,0,0,0,0,Revenge Saison 3 : Episode 21; les photos promo et le synopsis dévoilés !,melty.fr
01/05/2014 17:01,1,0,0,4,2,0,0,0,0,Feek s'occupera de la mêlée,lefigaro.fr
